UNICODE,HEX,UNICODE_NAME,INTEGER,SHIFTED_BINARY,UNICODE_CATEGORY
⠀,0x2800,"BRAILLE PATTERN BLANK",10240,000000,So
⠁,0x2801,"BRAILLE PATTERN DOTS-1",10241,000001,So
⠂,0x2802,"BRAILLE PATTERN DOTS-2",10242,000010,So
⠃,0x2803,"BRAILLE PATTERN DOTS-12",10243,000011,So
⠄,0x2804,"BRAILLE PATTERN DOTS-3",10244,000100,So
⠅,0x2805,"BRAILLE PATTERN DOTS-13",10245,000101,So
⠆,0x2806,"BRAILLE PATTERN DOTS-23",10246,000110,So
⠇,0x2807,"BRAILLE PATTERN DOTS-123",10247,000111,So
⠈,0x2808,"BRAILLE PATTERN DOTS-4",10248,001000,So
⠉,0x2809,"BRAILLE PATTERN DOTS-14",10249,001001,So
⠊,0x280a,"BRAILLE PATTERN DOTS-24",10250,001010,So
⠋,0x280b,"BRAILLE PATTERN DOTS-124",10251,001011,So
⠌,0x280c,"BRAILLE PATTERN DOTS-34",10252,001100,So
⠍,0x280d,"BRAILLE PATTERN DOTS-134",10253,001101,So
⠎,0x280e,"BRAILLE PATTERN DOTS-234",10254,001110,So
⠏,0x280f,"BRAILLE PATTERN DOTS-1234",10255,001111,So
⠐,0x2810,"BRAILLE PATTERN DOTS-5",10256,010000,So
⠑,0x2811,"BRAILLE PATTERN DOTS-15",10257,010001,So
⠒,0x2812,"BRAILLE PATTERN DOTS-25",10258,010010,So
⠓,0x2813,"BRAILLE PATTERN DOTS-125",10259,010011,So
⠔,0x2814,"BRAILLE PATTERN DOTS-35",10260,010100,So
⠕,0x2815,"BRAILLE PATTERN DOTS-135",10261,010101,So
⠖,0x2816,"BRAILLE PATTERN DOTS-235",10262,010110,So
⠗,0x2817,"BRAILLE PATTERN DOTS-1235",10263,010111,So
⠘,0x2818,"BRAILLE PATTERN DOTS-45",10264,011000,So
⠙,0x2819,"BRAILLE PATTERN DOTS-145",10265,011001,So
⠚,0x281a,"BRAILLE PATTERN DOTS-245",10266,011010,So
⠛,0x281b,"BRAILLE PATTERN DOTS-1245",10267,011011,So
⠜,0x281c,"BRAILLE PATTERN DOTS-345",10268,011100,So
⠝,0x281d,"BRAILLE PATTERN DOTS-1345",10269,011101,So
⠞,0x281e,"BRAILLE PATTERN DOTS-2345",10270,011110,So
⠟,0x281f,"BRAILLE PATTERN DOTS-12345",10271,011111,So
⠠,0x2820,"BRAILLE PATTERN DOTS-6",10272,100000,So
⠡,0x2821,"BRAILLE PATTERN DOTS-16",10273,100001,So
⠢,0x2822,"BRAILLE PATTERN DOTS-26",10274,100010,So
⠣,0x2823,"BRAILLE PATTERN DOTS-126",10275,100011,So
⠤,0x2824,"BRAILLE PATTERN DOTS-36",10276,100100,So
⠥,0x2825,"BRAILLE PATTERN DOTS-136",10277,100101,So
⠦,0x2826,"BRAILLE PATTERN DOTS-236",10278,100110,So
⠧,0x2827,"BRAILLE PATTERN DOTS-1236",10279,100111,So
⠨,0x2828,"BRAILLE PATTERN DOTS-46",10280,101000,So
⠩,0x2829,"BRAILLE PATTERN DOTS-146",10281,101001,So
⠪,0x282a,"BRAILLE PATTERN DOTS-246",10282,101010,So
⠫,0x282b,"BRAILLE PATTERN DOTS-1246",10283,101011,So
⠬,0x282c,"BRAILLE PATTERN DOTS-346",10284,101100,So
⠭,0x282d,"BRAILLE PATTERN DOTS-1346",10285,101101,So
⠮,0x282e,"BRAILLE PATTERN DOTS-2346",10286,101110,So
⠯,0x282f,"BRAILLE PATTERN DOTS-12346",10287,101111,So
⠰,0x2830,"BRAILLE PATTERN DOTS-56",10288,110000,So
⠱,0x2831,"BRAILLE PATTERN DOTS-156",10289,110001,So
⠲,0x2832,"BRAILLE PATTERN DOTS-256",10290,110010,So
⠳,0x2833,"BRAILLE PATTERN DOTS-1256",10291,110011,So
⠴,0x2834,"BRAILLE PATTERN DOTS-356",10292,110100,So
⠵,0x2835,"BRAILLE PATTERN DOTS-1356",10293,110101,So
⠶,0x2836,"BRAILLE PATTERN DOTS-2356",10294,110110,So
⠷,0x2837,"BRAILLE PATTERN DOTS-12356",10295,110111,So
⠸,0x2838,"BRAILLE PATTERN DOTS-456",10296,111000,So
⠹,0x2839,"BRAILLE PATTERN DOTS-1456",10297,111001,So
⠺,0x283a,"BRAILLE PATTERN DOTS-2456",10298,111010,So
⠻,0x283b,"BRAILLE PATTERN DOTS-12456",10299,111011,So
⠼,0x283c,"BRAILLE PATTERN DOTS-3456",10300,111100,So
⠽,0x283d,"BRAILLE PATTERN DOTS-13456",10301,111101,So
⠾,0x283e,"BRAILLE PATTERN DOTS-23456",10302,111110,So
⠿,0x283f,"BRAILLE PATTERN DOTS-123456",10303,111111,So
